Cluster ID, Latitude, Longitude, Nombre de points
10, 40.75474493944095, -73.97664437008288, 1932
21, 40.761383694725076, -73.97016784062848, 891
7, 40.750096539845764, -73.9911672724936, 389
95, 40.76646975077879, -73.98158522429901, 321
57, 40.75170358403361, -73.99372898739495, 238
15, 40.760412644067785, -73.97993444067801, 236
3, 40.74994819117651, -73.98765404411762, 204
63, 40.745664959183664, -73.98441654591832, 196
17, 40.773608537634395, -73.9818639731183, 186
93, 40.740328114130435, -73.98617283152176, 184
51, 40.780456125748486, -73.98135054491017, 167
101, 40.75622310884353, -73.9902508367347, 147
4, 40.773825759124094, -73.96178745985402, 137
67, 40.781175395522375, -73.95638126865671, 134
96, 40.759551954545465, -73.98517670454544, 132
1, 40.76591704580151, -73.95436541984735, 131
205, 40.75648719047617, -73.98599579365079, 126
8, 40.74555930081301, -73.9944165609756, 123
42, 40.73878638655464, -73.99144812605043, 119
356, 40.769533428571435, -73.86316429411765, 119
115, 40.76253988000001, -73.98248634999996, 100
139, 40.77463704081634, -73.95909535714287, 98
2, 40.75569411956521, -73.98354254347826, 92
82, 40.76402999999999, -73.97679076744186, 86
321, 40.74539880722892, -73.98246932530124, 83
55, 40.756453353658536, -73.97204860975609, 82
54, 40.77308615384616, -73.9644694102564, 78
97, 40.77016380769232, -73.95129965384614, 78
141, 40.780096090909105, -73.95933470129869, 77
71, 40.776204500000006, -73.96220204054052, 74
112, 40.74757287837836, -73.9850122162162, 74
149, 40.77006143661975, -73.96444609859155, 71
252, 40.76396419999999, -73.95491491428574, 70
182, 40.734608159420276, -73.99877814492751, 69
191, 40.7419096567164, -73.97476202985072, 67
25, 40.74002746875, -73.994869515625, 64
269, 40.761748859375004, -73.96626435937499, 64
40, 40.77967869354841, -73.95553761290321, 62
31, 40.734887533333314, -73.98970528333332, 60
86, 40.76933386206897, -73.96092598275862, 58
6, 40.754008363636366, -73.98827236363636, 55
546, 40.773720854545445, -73.87077758181817, 55
52, 40.759398407407396, -73.9722967037037, 54
160, 40.78433246296295, -73.95424051851852, 54
130, 40.72805213207548, -74.00722258490566, 53
140, 40.74976217307692, -73.99342373076921, 52
113, 40.78415874509803, -73.97971713725492, 51
9, 40.76877238, -73.9582227, 50
99, 40.73175077999999, -73.98219181999997, 50
43, 40.71112157142857, -74.0158347755102, 49
49, 40.77187259574468, -73.96108625531917, 47
88, 40.779026659574455, -73.962290106383, 47
168, 40.71443748936171, -74.01546306382977, 47
238, 40.7670979787234, -73.95643791489364, 47
164, 40.77255019565218, -73.95263239130435, 46
223, 40.774664934782614, -73.95704563043476, 46
179, 40.76403164444444, -73.95868226666666, 45
162, 40.74029677272727, -74.0021246818182, 44
154, 40.730424023255814, -73.99247744186049, 43
348, 40.73743713953488, -73.97815927906977, 43
29, 40.783824952380954, -73.97408942857143, 42
124, 40.76121185714286, -73.98676676190476, 42
157, 40.75918490476192, -73.96527233333333, 42
319, 40.76522004761904, -73.9638882142857, 42
121, 40.746066575, -73.97187852500001, 40
166, 40.75826722500001, -73.98888847499998, 40
190, 40.75124782499999, -73.97104859999997, 40
20, 40.788876052631586, -73.97039284210528, 38
68, 40.648628499999994, -73.7834797631579, 38
110, 40.77846997297298, -73.94530867567569, 37
189, 40.742651810810806, -73.99287778378377, 37
156, 40.738956138888895, -73.9898219722222, 36
