label, Latitude, Longitude
63, 40.748103, -73.98268199999998
63, 40.748167, -73.982657
63, 40.74822, -73.9826
63, 40.747975, -73.98279499999998
63, 40.748262, -73.98273299999998
63, 40.748437, -73.98258699999998
63, 40.7484, -73.98255299999998
63, 40.74837, -73.98238
63, 40.747798, -73.982765
63, 40.747908, -73.98296999999998
63, 40.747745, -73.98270499999998
63, 40.747761, -73.98265399999998
63, 40.748548, -73.98250199999998
63, 40.748482, -73.982297
63, 40.748538, -73.982336
63, 40.748515, -73.982173
63, 40.74862, -73.98233999999998
63, 40.748249, -73.982118
63, 40.748531, -73.982273
63, 40.747569, -73.98277899999998
63, 40.747648, -73.98274
63, 40.747603, -73.982943
63, 40.74773, -73.983188
63, 40.747818, -73.983075
63, 40.747488, -73.982573
63, 40.748718, -73.982338
63, 40.74866, -73.98228799999998
63, 40.748675, -73.982321
63, 40.748745, -73.982297
63, 40.74855, -73.982043
63, 40.748812, -73.98222599999998
63, 40.74878, -73.98206
63, 40.748555, -73.981942
63, 40.748813, -73.982139
63, 40.748908, -73.982381
63, 40.747345, -73.98296999999998
63, 40.747498, -73.98290699999998
63, 40.747307, -73.982707
63, 40.747378, -73.98286799999998
63, 40.747539, -73.983047
63, 40.747345, -73.983072
63, 40.747367, -73.983047
63, 40.747619, -73.983445
63, 40.748797, -73.98205199999998
63, 40.748927, -73.982484
63, 40.748961, -73.98211
63, 40.748705, -73.981837
63, 40.747069, -73.983017
63, 40.74734, -73.98317
63, 40.747242, -73.983247
63, 40.748917, -73.981753
63, 40.747055, -73.983193
63, 40.747257, -73.983434
63, 40.747258, -73.98341499999998
63, 40.747233, -73.98337999999998
63, 40.74706, -73.983411
63, 40.747085, -73.983575
63, 40.746985, -73.983503
63, 40.747023, -73.983513
63, 40.747192, -73.983672
63, 40.74708, -73.983568
63, 40.747013, -73.983517
63, 40.746799, -73.983418
63, 40.746865, -73.98360599999998
63, 40.74689, -73.98357699999998
63, 40.746892, -73.983447
63, 40.746809, -73.983463
63, 40.746965, -73.98353199999998
63, 40.747019, -73.98377399999998
63, 40.746755, -73.983576
63, 40.747335, -73.983877
63, 40.746638, -73.983643
63, 40.746606, -73.983644
63, 40.746675, -73.983823
63, 40.746948, -73.98403299999998
63, 40.746528, -73.983767
63, 40.746685, -73.98385899999998
63, 40.746569, -73.983788
63, 40.746567, -73.983907
63, 40.746439, -73.983815
63, 40.746458, -73.98393
63, 40.74655, -73.98401599999998
63, 40.746518, -73.983973
63, 40.746262, -73.98384799999998
63, 40.746243, -73.98380799999998
63, 40.74633, -73.984018
63, 40.7466, -73.984189
63, 40.746319, -73.98410599999998
63, 40.746203, -73.984109
63, 40.746133, -73.98389199999998
63, 40.746088, -73.983897
63, 40.745967, -73.98369499999998
63, 40.746203, -73.98419199999998
63, 40.746142, -73.98438
63, 40.74614, -73.984392
63, 40.746, -73.984233
63, 40.745773, -73.9843
63, 40.745857, -73.984222
63, 40.745612, -73.98432699999998
63, 40.745542, -73.98415199999998
63, 40.745523, -73.984302
63, 40.745593, -73.984358
63, 40.745688, -73.984547
63, 40.745711, -73.98455199999998
