label, Latitude, Longitude
93, 40.741168, -73.985742
93, 40.74109, -73.98587
93, 40.741052, -73.98572699999998
93, 40.741313, -73.98595299999998
93, 40.741316, -73.985495
93, 40.741088, -73.98560899999998
93, 40.741117, -73.98560899999998
93, 40.740889, -73.98581299999998
93, 40.740899, -73.98569999999998
93, 40.741232, -73.985668
93, 40.740809, -73.985798
93, 40.740857, -73.98590799999998
93, 40.740846, -73.98576799999998
93, 40.740957, -73.985515
93, 40.741537, -73.985782
93, 40.74138, -73.985248
93, 40.741428, -73.985566
93, 40.741527, -73.985557
93, 40.741194, -73.98530599999998
93, 40.740666, -73.985741
93, 40.740696, -73.98583999999998
93, 40.740754, -73.98569
93, 40.740705, -73.985718
93, 40.740732, -73.98586
93, 40.740697, -73.985552
93, 40.740552, -73.98594799999998
93, 40.740533, -73.98586
93, 40.741538, -73.98528799999998
93, 40.741167, -73.98518799999998
93, 40.741665, -73.985229
93, 40.741662, -73.98533999999998
93, 40.741427, -73.98516499999998
93, 40.741523, -73.985235
93, 40.741702, -73.985517
93, 40.74062, -73.985534
93, 40.740504, -73.985634
93, 40.740409, -73.986079
93, 40.740417, -73.98603199999998
93, 40.740624, -73.986205
93, 40.740248, -73.985775
93, 40.741688, -73.98513599999998
93, 40.741783, -73.98525999999998
93, 40.740877, -73.98516999999998
93, 40.74164, -73.984987
93, 40.740345, -73.986322
93, 40.740291, -73.98621699999998
93, 40.74014, -73.98608799999998
93, 40.74035, -73.986275
93, 40.740123, -73.98598699999998
93, 40.740077, -73.98574999999998
93, 40.741798, -73.98492799999998
93, 40.741757, -73.984808
93, 40.740178, -73.98655599999998
93, 40.740097, -73.986255
93, 40.7403, -73.98644199999998
93, 40.740049, -73.98636399999998
93, 40.739977, -73.986168
93, 40.739832, -73.985673
93, 40.739938, -73.985692
93, 40.741823, -73.98473099999998
93, 40.742042, -73.984806
93, 40.740246, -73.986776
93, 40.73994, -73.98663399999998
93, 40.739963, -73.98670199999998
93, 40.740293, -73.986637
93, 40.739974, -73.986467
93, 40.740172, -73.986703
93, 40.739944, -73.98640899999998
93, 40.739797, -73.98630699999998
93, 40.739826, -73.98642499999998
93, 40.742126, -73.98470299999998
93, 40.742175, -73.984802
93, 40.739718, -73.986687
93, 40.73989, -73.986912
93, 40.742277, -73.98504
93, 40.742351, -73.98482799999998
93, 40.739539, -73.986858
93, 40.739576, -73.98662299999998
93, 40.739647, -73.986862
93, 40.739595, -73.98675199999998
93, 40.739556, -73.98675699999998
93, 40.739713, -73.98699499999998
93, 40.742085, -73.985197
93, 40.742556, -73.985071
93, 40.74254, -73.984685
93, 40.739452, -73.986857
93, 40.739272, -73.98674
93, 40.739352, -73.986877
93, 40.739415, -73.986812
93, 40.739388, -73.986991
93, 40.739392, -73.986857
93, 40.742733, -73.98479299999998
93, 40.742702, -73.98451699999998
93, 40.742797, -73.984553
93, 40.742541, -73.98439899999998
93, 40.742699, -73.984661
93, 40.742811, -73.984773
93, 40.742698, -73.98458999999998
93, 40.742526, -73.984454
93, 40.739101, -73.986879
93, 40.742802, -73.98451699999998
93, 40.742945, -73.984707
93, 40.742778, -73.984387
93, 40.74301, -73.98451199999998
93, 40.743006, -73.98440499999998
93, 40.74235, -73.984178
93, 40.742352, -73.98433699999998
93, 40.74256, -73.98420799999998
93, 40.742493, -73.984222
93, 40.743062, -73.98493499999998
93, 40.739012, -73.98705699999998
93, 40.739065, -73.98710599999998
93, 40.739013, -73.98701
93, 40.742949, -73.98427499999998
93, 40.743162, -73.98446199999998
93, 40.743275, -73.984311
93, 40.742997, -73.98412299999998
93, 40.743024, -73.984145
93, 40.743156, -73.98421299999998
93, 40.742504, -73.984074
93, 40.742468, -73.984098
93, 40.742432, -73.984098
93, 40.738896, -73.987284
93, 40.738906, -73.987217
93, 40.73884, -73.987273
93, 40.743048, -73.98408999999998
93, 40.74336, -73.984432
93, 40.743403, -73.984065
93, 40.743242, -73.984144
93, 40.743149, -73.983985
93, 40.74339, -73.98402799999998
93, 40.742498, -73.983857
93, 40.73879, -73.98739999999998
93, 40.738734, -73.987345
93, 40.738608, -73.987352
93, 40.738656, -73.98713999999998
93, 40.738959, -73.987468
93, 40.738683, -73.987316
93, 40.743645, -73.984413
93, 40.738632, -73.987555
93, 40.73861, -73.987515
93, 40.738535, -73.987333
93, 40.738485, -73.987452
93, 40.738451, -73.987289
93, 40.738515, -73.987167
93, 40.738382, -73.987288
93, 40.738378, -73.987556
93, 40.738403, -73.987595
93, 40.738644, -73.987758
93, 40.738533, -73.987644
93, 40.738578, -73.98768699999998
93, 40.738307, -73.98748299999998
93, 40.738362, -73.987047
93, 40.738204, -73.987667
93, 40.73833, -73.98784
93, 40.738895, -73.987893
93, 40.738222, -73.987848
93, 40.738065, -73.98791699999998
93, 40.738168, -73.987813
93, 40.738064, -73.987756
93, 40.737923, -73.987853
93, 40.737952, -73.98792
93, 40.737873, -73.987978
93, 40.737937, -73.987958
93, 40.737733, -73.988037
93, 40.737615, -73.988028
93, 40.73761, -73.987905
93, 40.73793, -73.988247
93, 40.737606, -73.98782
93, 40.737478, -73.98818199999998
93, 40.737753, -73.98826699999998
93, 40.737737, -73.98827699999998
93, 40.737643, -73.988258
93, 40.737562, -73.98794499999998
93, 40.737407, -73.988178
93, 40.737877, -73.98831
93, 40.737374, -73.988314
93, 40.737303, -73.988372
93, 40.737372, -73.988358
93, 40.737323, -73.988275
93, 40.73757, -73.988377
93, 40.737235, -73.988462
93, 40.737361, -73.988529
93, 40.737191, -73.98839499999998
