label, Latitude, Longitude
10, 40.763258, -73.973651
10, 40.763381, -73.973813
10, 40.762653, -73.97347
10, 40.763169, -73.97346299999998
10, 40.763059, -73.973341
10, 40.759342, -73.97662699999998
10, 40.75915, -73.97592
10, 40.759134, -73.97622599999998
10, 40.758971, -73.975972
10, 40.759127, -73.976207
10, 40.759133, -73.97611999999998
10, 40.758978, -73.976177
10, 40.759181, -73.976298
10, 40.758987, -73.976325
10, 40.759137, -73.976445
10, 40.758918, -73.97609
10, 40.76332, -73.97354799999998
10, 40.763552, -73.97379499999998
10, 40.763182, -73.97332799999998
10, 40.763133, -73.973248
10, 40.763533, -73.973633
10, 40.76344, -73.973597
10, 40.763563, -73.973556
10, 40.76361, -73.973612
10, 40.762819, -73.973301
10, 40.762937, -73.973132
10, 40.759368, -73.976782
10, 40.759302, -73.97687999999998
10, 40.758977, -73.97569799999998
10, 40.758945, -73.976383
10, 40.758878, -73.97632799999998
10, 40.758792, -73.976123
10, 40.758838, -73.97635699999998
10, 40.758823, -73.97637
10, 40.758895, -73.976445
10, 40.759043, -73.976659
10, 40.759018, -73.976697
10, 40.758625, -73.97615299999998
10, 40.75865, -73.976123
10, 40.763557, -73.973533
10, 40.763527, -73.97345
10, 40.7637, -73.973651
10, 40.763669, -73.97372699999998
10, 40.76342, -73.973245
10, 40.763654, -73.973505
10, 40.763666, -73.97337899999998
10, 40.76365, -73.97350799999998
10, 40.76374, -73.97338999999998
10, 40.763657, -73.97335699999998
10, 40.763848, -73.97345199999998
10, 40.762915, -73.97301799999998
10, 40.75877, -73.975498
10, 40.758925, -73.975418
10, 40.758883, -73.976675
10, 40.758778, -73.976567
10, 40.758773, -73.976562
10, 40.758665, -73.976528
10, 40.758597, -73.976388
10, 40.758708, -73.976577
10, 40.758963, -73.976715
10, 40.758927, -73.97683
10, 40.758928, -73.97693599999998
10, 40.75884, -73.976748
10, 40.758961, -73.97676699999998
10, 40.75847, -73.976175
10, 40.763958, -73.973651
10, 40.763918, -73.973583
10, 40.763505, -73.973073
10, 40.763805, -73.97329499999998
10, 40.763852, -73.973353
10, 40.76385, -73.973335
10, 40.763832, -73.97336699999998
10, 40.763794, -73.97329999999998
10, 40.763723, -73.97318
10, 40.763927, -73.973327
10, 40.763763, -73.97319199999998
10, 40.76375, -73.973217
10, 40.763873, -73.973133
10, 40.76401, -73.97345
10, 40.764047, -73.973364
10, 40.764055, -73.97340599999998
10, 40.764128, -73.973522
10, 40.75867, -73.976808
10, 40.758498, -73.976675
10, 40.758414, -73.97652499999998
10, 40.758588, -73.97682299999998
10, 40.758716, -73.977023
10, 40.758692, -73.97701499999998
10, 40.758692, -73.976988
10, 40.758768, -73.977164
10, 40.758702, -73.97713299999998
10, 40.758887, -73.977157
10, 40.758192, -73.976095
10, 40.763533, -73.972853
10, 40.763499, -73.972927
10, 40.764012, -73.973177
10, 40.764061, -73.973138
